sale_id,date_key,outlet_id,item_id,customer_id,quantity,revenue,avg_rating,discount_pct
74,20230103,10,10,7,5,416.8,1.44,20.1
75,20230103,2,5,136,5,2374.4,2.74,11.56
76,20230103,7,29,72,2,434.8,4.27,16.51
77,20230103,1,13,143,6,878.4,1.25,10.73
78,20230103,4,22,85,7,989.38,3.35,1.49
79,20230103,6,3,69,1,403.66,2.83,19.47
80,20230103,4,6,56,6,918.84,1.97,2.18
81,20230103,1,4,179,2,855.7,4.99,23.87
82,20230103,6,26,64,6,1363.92,2.74,22.79
83,20230103,3,27,122,9,1021.14,3.41,12.71
84,20230103,9,17,52,8,2641.04,2.03,4.47
85,20230103,3,26,139,7,1591.24,3.95,12.74
86,20230103,1,13,67,9,1317.6,3.21,24.85
87,20230103,4,4,118,3,1283.55,4.79,22.88
88,20230103,7,5,134,4,1899.52,3.61,29.57
89,20230103,5,18,127,4,1244.04,3.05,14.95
90,20230103,8,3,82,8,3229.28,1.43,16.54
91,20230103,1,2,147,1,274.89,3.64,28.0
92,20230103,4,26,180,5,1136.6,3.51,5.46
93,20230103,9,7,10,4,48.72,4.85,26.29
94,20230104,4,24,106,1,424.0,1.17,25.07
95,20230104,6,16,194,5,281.55,3.84,8.59
96,20230104,3,8,81,9,182.16,3.53,21.2
97,20230104,9,9,19,6,2006.88,3.5,3.59
98,20230104,10,15,176,5,2035.4,3.55,7.52
99,20230104,8,19,54,7,636.65,2.22,21.2
100,20230104,2,25,91,6,1048.86,4.32,28.32
101,20230104,1,22,100,7,989.38,1.77,26.98
102,20230104,4,24,100,4,1696.0,4.75,1.94
103,20230104,5,2,104,1,274.89,5.0,11.03
104,20230104,1,4,11,6,2567.1,3.75,9.55
105,20230104,1,20,14,1,396.85,2.02,7.86
106,20230104,4,22,121,2,282.68,3.06,9.48
107,20230104,8,8,58,8,161.92,3.32,2.28
108,20230104,4,16,63,2,112.62,1.27,15.92
109,20230104,10,2,90,3,824.67,3.17,20.38
110,20230104,7,15,41,3,1221.24,3.23,15.87
111,20230104,2,3,93,8,3229.28,4.13,9.72
112,20230104,6,12,163,7,1510.67,2.51,19.21
113,20230104,7,28,126,3,1050.78,4.89,16.64
114,20230104,10,13,137,8,1171.2,4.59,16.74
115,20230104,5,15,94,3,1221.24,4.69,20.09
116,20230104,3,24,84,4,1696.0,1.65,0.77
117,20230104,7,16,62,5,281.55,3.77,5.48
118,20230104,9,9,57,9,3010.32,1.71,19.3
119,20230104,3,17,154,8,2641.04,2.58,11.89
120,20230104,9,20,50,1,396.85,4.37,6.08
121,20230104,2,30,168,9,3277.62,2.1,6.52
122,20230104,4,21,42,3,547.98,4.15,29.65
123,20230104,1,28,13,7,2451.82,2.82,26.03
124,20230104,7,13,142,1,146.4,4.62,2.54
125,20230104,1,26,72,9,2045.88,1.86,26.04
126,20230104,8,25,93,2,349.62,3.81,13.83
127,20230104,2,3,58,7,2825.62,2.93,22.51
128,20230104,7,6,78,2,306.28,2.5,16.0
129,20230104,1,14,48,4,353.28,2.78,11.58
130,20230104,4,1,66,2,53.04,3.2,23.33
131,20230104,4,13,156,4,585.6,2.52,9.44
132,20230104,4,5,94,9,4273.92,4.35,18.23
133,20230105,1,8,70,2,40.48,4.73,17.23
134,20230105,7,15,65,4,1628.32,3.07,14.53
135,20230105,6,26,188,6,1363.92,2.32,26.34
136,20230105,3,18,21,1,311.01,2.3,19.16
137,20230105,9,17,43,9,2971.17,4.64,26.1
138,20230105,5,13,143,7,1024.8,3.29,3.16
139,20230105,2,9,46,3,1003.44,1.61,6.38
140,20230105,1,15,198,9,3663.72,1.14,3.9
141,20230105,1,17,119,8,2641.04,2.78,27.04
142,20230105,1,16,120,4,225.24,2.99,27.23
143,20230105,4,12,200,8,1726.48,2.41,25.09
144,20230105,10,17,100,8,2641.04,3.0,10.33
145,20230105,2,28,111,4,1401.04,4.45,0.72
146,20230105,4,4,193,7,2994.95,4.15,21.59
147,20230105,9,12,135,6,1294.86,2.43,17.03
148,20230105,5,25,60,2,349.62,4.19,21.97
149,20230105,5,7,162,7,85.26,1.72,7.74
150,20230105,6,17,157,6,1980.78,3.32,8.33
151,20230105,5,29,49,2,434.8,3.49,29.53
152,20230105,1,16,181,6,337.86,1.28,0.46
153,20230105,1,11,186,9,3547.17,1.45,2.93
154,20230105,7,15,28,4,1628.32,3.27,4.19
155,20230105,4,16,193,2,112.62,2.73,22.26
156,20230105,2,28,142,3,1050.78,2.9,15.66
157,20230105,7,1,25,4,106.08,2.47,20.79
158,20230105,3,2,176,7,1924.23,3.86,26.35
159,20230105,8,4,182,1,427.85,3.63,20.56
160,20230105,7,27,5,5,567.3,4.52,19.32
161,20230106,4,29,18,9,1956.6,1.52,13.97
162,20230106,7,30,7,6,2185.08,4.68,11.56
163,20230106,8,8,166,7,141.68,1.3,3.58
164,20230106,9,19,177,6,545.7,3.3,21.57
165,20230106,1,20,8,8,3174.8,3.49,3.68
166,20230106,10,2,69,3,824.67,4.03,26.54
167,20230106,10,30,172,9,3277.62,3.43,19.76
168,20230106,7,13,84,6,878.4,2.21,12.15
169,20230106,5,4,85,5,2139.25,1.38,11.15
170,20230106,5,23,77,3,849.24,2.26,3.0
171,20230106,9,4,164,3,1283.55,4.79,14.23
172,20230106,9,26,22,7,1591.24,2.09,9.04
173,20230106,10,22,185,1,141.34,2.39,18.13
174,20230106,9,25,12,2,349.62,4.04,1.08
175,20230106,6,20,37,8,3174.8,3.28,18.03
176,20230106,6,15,25,1,407.08,3.0,17.24
177,20230106,2,28,123,9,3152.34,1.97,26.91
178,20230106,6,18,79,4,1244.04,3.71,2.62
179,20230106,4,29,14,2,434.8,1.55,7.2
180,20230106,8,26,26,1,227.32,3.43,1.1
181,20230106,5,29,187,1,217.4,4.51,8.44
182,20230106,4,16,179,6,337.86,2.36,29.9
183,20230106,5,20,172,9,3571.65,3.42,25.23
184,20230106,1,11,10,3,1182.39,2.64,24.51
185,20230106,1,22,186,5,706.7,2.79,1.73
186,20230106,7,22,41,8,1130.72,3.18,13.45
187,20230106,6,11,5,6,2364.78,3.32,26.55
188,20230106,5,26,112,7,1591.24,1.58,28.97
189,20230106,9,7,187,3,36.54,2.49,29.08
190,20230106,2,22,7,3,424.02,4.15,18.49
191,20230106,4,29,165,1,217.4,1.68,16.37
192,20230106,10,1,76,3,79.56,2.24,27.59
193,20230106,3,30,142,5,1820.9,3.85,27.59
194,20230106,4,3,4,6,2421.96,3.34,0.04
195,20230106,1,23,171,5,1415.4,1.38,25.2
196,20230106,2,6,177,4,612.56,1.52,6.87
197,20230106,10,8,115,5,101.2,2.23,23.43
198,20230106,6,13,3,2,292.8,4.47,8.59
199,20230106,1,3,138,2,807.32,2.02,11.83
200,20230106,4,6,44,2,306.28,2.74,24.0
201,20230106,6,27,89,7,794.22,3.94,24.05
202,20230106,6,9,36,5,1672.4,1.82,20.2
203,20230106,9,13,67,8,1171.2,2.61,6.7
204,20230106,5,22,123,5,706.7,4.62,3.37
205,20230106,6,2,24,4,1099.56,4.94,10.36
206,20230107,4,24,155,4,1696.0,3.14,5.88
207,20230107,1,5,98,1,474.88,4.95,17.23
208,20230107,10,4,175,3,1283.55,5.0,9.98
209,20230107,4,1,77,3,79.56,2.15,7.45
210,20230107,8,9,153,3,1003.44,4.67,18.42
211,20230107,2,3,58,5,2018.3,2.54,19.46
212,20230107,3,15,85,4,1628.32,4.46,13.16
213,20230107,5,17,34,6,1980.78,1.05,6.25
214,20230107,10,27,96,2,226.92,4.16,13.55
215,20230107,8,15,173,9,3663.72,2.2,27.29
216,20230107,2,9,17,4,1337.92,1.49,15.41
217,20230107,4,30,12,5,1820.9,2.56,7.23
218,20230107,6,27,43,5,567.3,4.89,8.85
219,20230107,3,21,86,3,547.98,3.58,13.9
220,20230107,6,3,121,2,807.32,2.82,16.25
221,20230107,9,2,155,1,274.89,2.26,12.09
222,20230107,9,1,77,3,79.56,4.64,25.61
223,20230107,4,4,40,9,3850.65,2.73,25.86
224,20230107,2,16,183,4,225.24,2.79,17.05
225,20230107,9,24,51,6,2544.0,4.02,25.6
226,20230107,3,23,178,1,283.08,4.36,7.74
227,20230107,7,30,186,5,1820.9,3.49,27.82
228,20230107,2,21,82,2,365.32,2.37,5.9
229,20230107,7,13,116,8,1171.2,2.94,22.19
230,20230107,4,9,42,9,3010.32,2.44,27.03
231,20230107,3,13,187,2,292.8,2.16,18.46
232,20230107,4,27,128,8,907.68,1.85,6.65
233,20230107,10,2,17,5,1374.45,1.79,25.82
234,20230107,8,5,94,2,949.76,2.29,3.85
235,20230107,4,19,73,2,181.9,1.36,9.3
236,20230107,6,14,154,9,794.88,2.5,24.22
237,20230107,8,19,192,8,727.6,1.89,13.81
238,20230107,3,17,12,4,1320.52,1.84,14.23
239,20230107,3,11,115,2,788.26,3.23,29.21
240,20230107,7,13,147,9,1317.6,1.29,1.66
241,20230107,6,16,77,4,225.24,2.89,11.14
242,20230107,9,5,145,5,2374.4,1.57,5.7
243,20230107,4,6,169,8,1225.12,2.03,7.26
244,20230107,7,25,124,4,699.24,4.94,27.64
245,20230107,6,25,96,7,1223.67,4.77,14.35
246,20230107,5,24,184,2,848.0,3.52,17.73
247,20230107,6,6,65,1,153.14,3.93,0.82
248,20230107,10,1,150,6,159.12,3.06,20.77
249,20230107,4,26,31,1,227.32,2.87,13.68
250,20230107,4,24,52,1,424.0,4.92,21.34
251,20230107,6,2,112,6,1649.34,3.92,21.58
252,20230107,2,5,52,2,949.76,4.05,22.55
253,20230107,5,4,176,3,1283.55,3.88,1.08
254,20230107,2,30,68,1,364.18,1.09,11.49
255,20230107,2,23,153,9,2547.72,1.89,25.13
256,20230107,8,22,161,6,848.04,4.6,16.37
257,20230108,2,8,149,7,141.68,2.86,27.47
258,20230108,3,16,187,4,225.24,3.7,24.15
259,20230108,7,24,78,5,2120.0,4.59,5.74
260,20230108,1,4,131,6,2567.1,1.86,13.68
261,20230108,8,2,156,4,1099.56,4.87,10.14
262,20230108,6,11,94,2,788.26,1.92,16.02
263,20230108,6,16,177,9,506.79,4.77,4.04
264,20230108,10,22,16,4,565.36,3.02,18.14
265,20230108,9,1,55,1,26.52,3.68,23.93
266,20230108,1,9,87,8,2675.84,4.04,29.84
267,20230108,7,5,180,1,474.88,1.75,0.84
268,20230108,3,23,90,7,1981.56,2.77,15.45
269,20230108,8,13,200,7,1024.8,3.56,23.24
270,20230108,10,30,73,5,1820.9,3.62,22.56
271,20230108,1,26,146,1,227.32,1.06,15.5
272,20230108,7,29,192,6,1304.4,4.62,24.05
273,20230108,8,1,89,3,79.56,2.55,0.88
274,20230108,10,6,148,3,459.42,3.7,19.56
275,20230108,7,30,56,5,1820.9,4.76,25.95
276,20230108,8,17,164,4,1320.52,2.32,8.1
277,20230108,9,8,123,8,161.92,3.99,1.06
278,20230108,6,4,17,3,1283.55,2.29,0.67
279,20230108,6,25,102,3,524.43,2.67,11.62
280,20230108,8,25,83,3,524.43,4.31,24.54
281,20230108,7,3,38,6,2421.96,3.51,9.62
282,20230108,1,27,64,4,453.84,3.37,8.12
283,20230108,8,17,177,4,1320.52,2.6,0.89
284,20230108,5,1,59,4,106.08,1.76,16.04
285,20230108,5,12,65,7,1510.67,2.98,18.66
286,20230108,10,19,163,6,545.7,3.5,8.62
287,20230108,4,22,23,6,848.04,2.97,5.51
288,20230108,6,28,143,5,1751.3,1.63,19.45
289,20230109,2,5,24,3,1424.64,1.48,8.22
290,20230109,3,27,189,9,1021.14,3.06,7.75
291,20230109,10,2,82,4,1099.56,2.55,11.8
292,20230109,3,7,6,7,85.26,2.06,4.5
293,20230109,8,22,181,9,1272.06,4.74,16.32
294,20230109,8,20,156,2,793.7,1.29,27.21
295,20230109,9,12,200,9,1942.29,1.39,17.89
296,20230109,4,27,198,8,907.68,3.18,1.27
297,20230109,4,18,81,7,2177.07,1.57,19.53
298,20230109,6,22,80,6,848.04,2.5,14.73
299,20230109,3,23,130,6,1698.48,2.06,4.35
300,20230109,8,17,74,8,2641.04,3.02,11.45
301,20230109,8,8,152,6,121.44,3.31,12.26
302,20230109,9,1,167,6,159.12,2.99,9.73
303,20230109,10,9,187,2,668.96,1.6,18.59
304,20230109,2,20,63,5,1984.25,4.1,20.39
305,20230109,2,20,45,5,1984.25,3.61,29.55
306,20230109,6,19,144,9,818.55,4.8,16.09
307,20230109,5,24,82,1,424.0,3.87,2.88
308,20230109,1,26,150,8,1818.56,1.8,25.5
309,20230109,5,2,84,7,1924.23,1.98,19.75
310,20230109,2,8,181,5,101.2,4.62,26.12
311,20230109,1,16,161,8,450.48,4.88,10.85
312,20230109,6,11,178,6,2364.78,4.27,25.91
313,20230109,2,15,137,5,2035.4,3.48,0.26
314,20230109,1,7,58,4,48.72,2.8,20.76
315,20230109,7,20,83,7,2777.95,4.21,3.4
316,20230109,3,5,166,1,474.88,1.44,11.27
317,20230109,9,9,18,4,1337.92,4.1,25.27
318,20230109,7,24,87,9,3816.0,4.98,18.96
319,20230109,3,22,20,3,424.02,4.02,22.11
320,20230109,4,17,190,7,2310.91,3.44,22.9
321,20230109,8,8,137,9,182.16,2.81,25.98
322,20230109,2,29,39,2,434.8,2.32,11.77
323,20230109,4,5,200,3,1424.64,1.32,17.53
324,20230109,8,7,171,4,48.72,1.01,25.82
325,20230109,9,7,12,5,60.9,2.12,14.13
326,20230109,2,25,50,9,1573.29,1.52,8.34
327,20230109,5,19,114,6,545.7,2.48,29.17
328,20230109,1,20,55,5,1984.25,4.8,9.08
329,20230109,3,7,83,6,73.08,4.75,27.0
330,20230109,4,7,200,8,97.44,3.34,25.28
331,20230109,2,12,6,2,431.62,4.9,4.52
332,20230109,1,16,137,5,281.55,4.78,0.1
333,20230109,3,2,68,7,1924.23,2.65,28.69
334,20230109,4,27,166,7,794.22,2.99,18.65
335,20230109,6,15,108,2,814.16,4.99,12.55
336,20230109,1,8,45,1,20.24,1.92,25.51
337,20230109,5,15,29,6,2442.48,1.35,25.66
338,20230109,8,2,98,3,824.67,1.55,11.42
339,20230109,1,28,74,9,3152.34,1.2,8.97
340,20230109,7,11,107,6,2364.78,2.9,29.09
341,20230109,9,13,22,7,1024.8,3.33,19.05
342,20230109,1,22,133,6,848.04,3.29,29.63
343,20230109,6,22,169,7,989.38,2.73,7.85
344,20230109,8,8,39,1,20.24,2.89,17.27
345,20230109,9,16,140,9,506.79,4.91,21.85
346,20230109,9,28,1,4,1401.04,3.73,1.93
347,20230110,7,7,106,2,24.36,2.93,15.83
348,20230110,5,27,32,9,1021.14,2.54,1.56
349,20230110,5,19,22,8,727.6,3.98,29.61
350,20230110,6,17,113,2,660.26,3.35,8.24
351,20230110,10,29,181,2,434.8,3.17,21.56
352,20230110,1,22,12,6,848.04,1.22,21.64
353,20230110,2,21,89,4,730.64,2.47,16.04
354,20230110,3,14,82,6,529.92,4.74,12.35
355,20230110,3,16,15,8,450.48,4.74,1.66
356,20230110,4,3,199,1,403.66,4.52,3.25
357,20230110,3,11,60,3,1182.39,4.81,0.37
358,20230110,6,28,200,4,1401.04,4.62,24.57
359,20230110,3,7,90,5,60.9,4.0,16.19
360,20230110,3,15,191,5,2035.4,4.17,13.67
361,20230110,7,9,77,5,1672.4,2.8,4.96
362,20230110,5,1,15,4,106.08,2.44,13.94
363,20230110,4,7,22,2,24.36,2.48,10.83
364,20230110,10,5,141,6,2849.28,1.75,28.45
365,20230110,9,15,5,5,2035.4,4.03,9.73
366,20230110,10,30,14,9,3277.62,4.06,22.41
367,20230110,7,7,8,8,97.44,2.5,1.89
368,20230110,3,4,183,3,1283.55,4.24,15.58
369,20230110,7,25,138,6,1048.86,2.73,13.3
370,20230110,5,30,17,1,364.18,4.03,9.88
371,20230110,4,2,141,2,549.78,4.11,16.69
372,20230110,7,27,12,6,680.76,2.74,17.32
373,20230110,7,28,163,3,1050.78,1.85,16.78
374,20230111,7,15,14,4,1628.32,4.98,29.16
375,20230111,7,4,163,2,855.7,4.38,12.76
376,20230111,5,11,47,8,3153.04,2.53,26.08
377,20230111,9,13,139,9,1317.6,2.79,27.73
378,20230111,2,11,99,3,1182.39,1.96,24.68
379,20230111,7,16,152,7,394.17,1.68,13.37
380,20230111,2,29,141,5,1087.0,1.39,25.09
381,20230111,7,8,15,1,20.24,4.8,6.64
382,20230111,7,9,109,5,1672.4,4.14,9.62
383,20230111,10,27,22,5,567.3,4.29,14.78
384,20230111,2,2,82,3,824.67,4.53,15.05
385,20230111,6,14,159,7,618.24,1.55,4.22
386,20230111,9,16,48,5,281.55,1.11,23.65
387,20230111,4,24,154,2,848.0,3.94,10.47
388,20230111,1,19,69,3,272.85,1.73,4.88
389,20230111,6,30,100,7,2549.26,2.95,11.47
390,20230111,1,12,38,4,863.24,4.53,24.23
391,20230111,9,18,18,2,622.02,2.94,7.91
392,20230111,3,6,82,7,1071.98,1.4,27.15
393,20230111,3,18,169,5,1555.05,3.77,0.8
394,20230111,2,16,41,4,225.24,2.27,29.12
395,20230112,2,25,110,6,1048.86,1.13,25.52
396,20230112,6,27,143,9,1021.14,2.18,29.1
397,20230112,10,13,65,1,146.4,1.83,27.88
398,20230112,6,26,35,5,1136.6,2.22,17.26
399,20230112,8,16,174,1,56.31,1.8,0.44
400,20230112,1,11,79,8,3153.04,1.87,21.21
401,20230112,1,23,133,5,1415.4,2.67,17.91
402,20230112,4,16,183,8,450.48,3.66,1.76
403,20230112,8,23,137,2,566.16,4.86,10.01
404,20230112,7,17,182,6,1980.78,3.73,4.24
405,20230112,10,5,66,5,2374.4,4.83,1.51
406,20230112,5,6,154,2,306.28,3.98,21.44
407,20230112,5,12,145,7,1510.67,3.79,22.69
408,20230112,8,2,14,1,274.89,2.2,11.6
409,20230112,10,5,132,6,2849.28,1.86,2.12
410,20230112,10,20,114,1,396.85,1.87,22.5
411,20230112,7,5,173,1,474.88,4.74,15.34
412,20230112,7,21,90,2,365.32,2.16,10.37
413,20230112,3,12,86,9,1942.29,2.3,9.23
414,20230112,3,28,46,1,350.26,1.78,0.43
415,20230112,9,26,27,6,1363.92,2.16,3.53
416,20230112,10,19,152,5,454.75,3.03,2.14
417,20230112,6,15,63,1,407.08,2.37,24.54
418,20230112,2,17,198,5,1650.65,2.28,11.86
419,20230112,7,23,152,4,1132.32,3.27,8.2
420,20230112,7,21,133,2,365.32,3.35,6.63
421,20230112,1,30,120,7,2549.26,4.72,6.55
422,20230112,1,19,83,9,818.55,2.14,5.76
423,20230112,2,17,56,8,2641.04,2.73,4.09
424,20230112,3,27,81,2,226.92,3.59,5.75
425,20230112,6,16,30,7,394.17,4.23,7.9
426,20230112,10,17,107,9,2971.17,3.25,25.14
427,20230112,1,3,76,9,3632.94,2.53,23.6
428,20230112,3,17,37,9,2971.17,1.77,6.83
429,20230112,5,19,190,5,454.75,1.97,6.29
430,20230112,9,9,94,1,334.48,1.88,6.17
431,20230112,8,6,151,5,765.7,4.94,23.16
432,20230112,6,6,127,7,1071.98,4.22,29.13
433,20230112,4,1,36,5,132.6,1.92,11.32
434,20230112,4,3,164,6,2421.96,3.49,20.67
435,20230112,6,14,191,5,441.6,1.45,6.06
436,20230112,2,12,181,7,1510.67,3.09,12.77
437,20230112,4,20,41,6,2381.1,4.3,2.11
438,20230112,8,4,174,7,2994.95,3.13,7.7
439,20230112,1,2,176,1,274.89,4.65,19.72
440,20230112,2,15,53,2,814.16,1.1,22.67
441,20230112,8,14,5,8,706.56,1.12,7.05
442,20230112,1,13,129,3,439.2,4.94,16.42
443,20230112,9,20,166,1,396.85,2.18,17.84
444,20230112,1,15,167,7,2849.56,2.9,8.36
445,20230112,7,7,149,3,36.54,1.39,23.15
446,20230112,10,13,182,5,732.0,4.59,19.57
447,20230112,10,3,166,1,403.66,1.61,28.49
448,20230112,3,16,118,3,168.93,4.24,20.32
449,20230112,2,27,197,9,1021.14,3.56,15.87
450,20230112,5,10,22,7,583.52,1.93,2.66
451,20230112,3,2,66,3,824.67,1.94,29.21
452,20230112,2,6,38,6,918.84,3.53,14.37
453,20230113,7,9,128,2,668.96,3.97,16.67
454,20230113,6,15,83,5,2035.4,2.57,5.38
455,20230113,4,27,80,1,113.46,1.53,18.59
456,20230113,7,10,157,1,83.36,1.37,15.72
457,20230113,4,5,53,7,3324.16,2.27,4.03
458,20230113,3,22,34,2,282.68,2.74,3.34
459,20230113,1,3,156,1,403.66,3.63,26.05
460,20230113,8,14,29,9,794.88,4.73,18.93
461,20230113,7,4,173,1,427.85,3.04,24.95
462,20230113,7,16,132,3,168.93,4.24,6.08
463,20230113,3,2,62,7,1924.23,4.03,1.51
464,20230113,7,27,113,7,794.22,2.24,27.89
465,20230113,10,16,138,5,281.55,1.33,22.96
466,20230113,5,4,174,1,427.85,4.31,26.24
467,20230113,7,27,100,4,453.84,4.36,8.9
468,20230113,9,16,69,5,281.55,1.9,23.03
469,20230113,7,24,56,1,424.0,1.31,29.68
470,20230113,7,1,20,7,185.64,2.84,29.52
471,20230113,6,26,6,3,681.96,3.08,3.57
472,20230113,10,16,159,2,112.62,3.45,28.6
473,20230113,1,1,57,7,185.64,3.49,9.03
474,20230113,10,21,119,6,1095.96,1.15,26.54
475,20230113,3,26,106,6,1363.92,2.14,7.23
476,20230113,9,10,185,2,166.72,4.33,19.43
477,20230113,8,26,158,7,1591.24,1.87,0.28
478,20230113,2,26,83,5,1136.6,4.89,6.58
479,20230113,3,11,155,7,2758.91,3.43,10.54
480,20230113,4,10,17,2,166.72,4.37,10.8
481,20230113,5,29,185,9,1956.6,4.13,20.8
482,20230113,3,11,73,3,1182.39,2.38,11.45
483,20230113,10,22,129,1,141.34,3.46,13.53
484,20230113,5,21,107,1,182.66,4.94,22.86
485,20230113,2,24,130,9,3816.0,2.06,6.79
486,20230113,5,22,91,8,1130.72,3.06,2.38
487,20230113,4,26,84,2,454.64,4.81,5.5
488,20230113,6,3,108,8,3229.28,1.43,2.92
489,20230113,3,5,62,7,3324.16,3.08,4.93
490,20230113,10,12,156,4,863.24,2.43,11.63
491,20230113,9,11,158,6,2364.78,3.28,3.3
492,20230113,4,9,169,7,2341.36,2.87,16.13
493,20230113,1,21,44,2,365.32,2.72,28.51
494,20230113,10,24,176,2,848.0,1.55,6.38
495,20230113,4,9,196,1,334.48,3.49,14.97
496,20230113,9,30,144,1,364.18,2.11,21.34
497,20230114,8,13,72,2,292.8,2.0,27.46
498,20230114,3,15,148,2,814.16,4.82,7.83
499,20230114,7,15,17,4,1628.32,4.16,29.72
500,20230114,7,15,81,6,2442.48,1.21,24.51
501,20230114,10,2,158,9,2474.01,1.5,13.1
502,20230114,1,21,60,8,1461.28,4.5,21.01
503,20230114,8,4,78,1,427.85,4.53,22.08
504,20230114,6,9,12,4,1337.92,3.19,21.73
505,20230114,1,25,154,7,1223.67,4.28,9.04
506,20230114,6,1,7,2,53.04,2.15,26.09
507,20230114,9,7,144,8,97.44,4.14,13.93
508,20230114,6,1,199,6,159.12,1.35,22.13
509,20230114,10,14,165,6,529.92,2.92,0.64
510,20230114,7,9,182,5,1672.4,3.05,23.17
511,20230114,9,10,37,4,333.44,4.06,18.42
512,20230114,10,14,185,2,176.64,2.43,14.42
513,20230114,9,24,62,6,2544.0,3.07,25.44
514,20230114,7,11,4,4,1576.52,3.26,27.93
515,20230114,7,10,59,6,500.16,1.09,23.15
516,20230114,3,29,28,9,1956.6,3.4,20.41
517,20230114,2,6,75,4,612.56,3.75,27.58
518,20230114,5,18,200,6,1866.06,2.83,29.39
519,20230114,3,5,29,7,3324.16,1.73,16.56
520,20230114,10,16,36,1,56.31,2.36,25.57
521,20230114,2,9,113,7,2341.36,2.65,19.93
522,20230114,3,16,42,6,337.86,1.1,17.21
523,20230114,10,4,191,7,2994.95,1.47,4.76
524,20230114,4,25,53,5,874.05,4.56,14.61
525,20230114,9,2,42,7,1924.23,3.52,2.21
